Object,Category,name,altname,exid,id,guild,metacyc,exid_seed,id_seed
nitrate,Metabolite utilization,nitrate,,EX_no3(e),no3[e],Minerals,,EX_cpd00209_e0,cpd00209[e0]
maltose,Metabolite utilization,maltose,maltose,EX_malt(e),malt[e],Carbohydrates,MALTOSECAT-PWY,EX_cpd00179_e0,cpd00179[e0]
sucrose,Metabolite utilization,sucrose,sucrose,EX_sucr(e),sucr[e],Carbohydrates,SUCUTIL-PWY;SUCROSEUTIL2-PWY;PWY-3801;PWY-621;PWY66-373;PWY-5384,EX_cpd00076_e0,cpd00076[e0]
urea,Metabolite utilization,urea,,EX_urea(e),urea[e],,,EX_cpd00073_e0,cpd00073[e0]
nitrite,Metabolite utilization,nitrite,,EX_no2(e),no2[e],Minerals,,EX_cpd00075_e0,cpd00075[e0]
gluconate,Metabolite utilization,gluconate,D-Gluconic Acid,EX_glcn(e),glcn[e],Carboxylic acids,,EX_cpd00222_e0,cpd00222[e0]
glycogen,Metabolite utilization,glycogen,,EX_glycogen(e),glycogen[e],Polymers,,EX_cpd00155_e0,cpd00155[e0]
salicin,Metabolite utilization,salicin,,EX_salcn(e),salcn[e],,,EX_cpd01030_e0,cpd01030[e0]
xylose,Metabolite utilization,xylose,,EX_xyl_D(e),xyl_D[e],,,EX_cpd00154_e0,cpd00154[e0]
glycerol,Metabolite utilization,glycerol,,EX_glyc(e),glyc[e],,,EX_cpd00100_e0,cpd00100[e0]
starch,Metabolite utilization,starch,,EX_starch(e),starch[e],,,EX_cpd11657_e0,cpd11657[e0]
decanoate,Metabolite utilization,decanoate,,EX_dca(e),dca[e],,,EX_cpd01107_e0,cpd01107[e0]
turanose,Metabolite utilization,turanose,,EX_tur(e),tur[e],Carbohydrates,,EX_cpd20885_e0,cpd20885[e0]
ribitol,Metabolite utilization,ribitol,,EX_rbt(e),rbt[e],,,EX_cpd00366_e0,cpd00366[e0]
xylitol,Metabolite utilization,xylitol,,EX_xylt(e),xylt[e],Carbohydrates,LARABITOLUTIL-PWY,EX_cpd00306_e0,cpd00306[e0]
